posted,item_id,helpful,recommend,user_id,sentiment_analysis
2011-11-05,1250,No ratings yet,1.0,76561197970982479,1
2011-07-15,22200,No ratings yet,1.0,76561197970982479,2
2011-04-21,43110,No ratings yet,1.0,76561197970982479,1
2014-06-24,251610,15 of 20 people (75%) found this review helpful,1.0,js41637,1
2013-09-08,227300,0 of 1 people (0%) found this review helpful,1.0,js41637,1
2013-11-29,239030,1 of 4 people (25%) found this review helpful,1.0,js41637,1
2015-12-04,370360,No ratings yet,1.0,evcentric,2
2014-11-03,237930,No ratings yet,1.0,evcentric,2
2014-10-15,263360,No ratings yet,1.0,evcentric,0
2014-10-15,107200,No ratings yet,1.0,evcentric,1
2014-10-15,224500,No ratings yet,1.0,evcentric,1
2013-10-14,250320,2 of 2 people (100%) found this review helpful,1.0,doctr,2
2012-07-28,20920,1 of 1 people (100%) found this review helpful,1.0,doctr,2
2012-06-02,204100,1 of 1 people (100%) found this review helpful,1.0,doctr,2
2014-06-29,224600,1 of 2 people (50%) found this review helpful,1.0,doctr,1
2012-11-22,207610,No ratings yet,1.0,doctr,0
2012-02-23,108710,No ratings yet,1.0,doctr,2
2014-04-15,211420,35 of 43 people (81%) found this review helpful,1.0,maplemage,1
2013-12-23,211820,12 of 16 people (75%) found this review helpful,1.0,maplemage,1
2014-03-14,730,5 of 5 people (100%) found this review helpful,1.0,maplemage,2
2013-07-11,204300,No ratings yet,1.0,maplemage,2
2014-05-05,249130,7 of 8 people (88%) found this review helpful,1.0,Wackky,0
2012-12-24,207610,1 of 1 people (100%) found this review helpful,1.0,Wackky,1
2012-10-21,550,1 of 1 people (100%) found this review helpful,1.0,Wackky,1
2012-03-20,65800,1 of 1 people (100%) found this review helpful,1.0,Wackky,0
2012-03-09,220,No ratings yet,1.0,Wackky,2
2015-02-01,72850,3 of 3 people (100%) found this review helpful,1.0,76561198089393905,0
2014-06-20,440,3 of 3 people (100%) found this review helpful,1.0,76561198089393905,1
2014-08-25,304930,No ratings yet,1.0,76561198077246154,1
2013-12-25,4000,0 of 1 people (0%) found this review helpful,1.0,WeiEDKrSat,1
2012-06-23,42910,0 of 2 people (0%) found this review helpful,1.0,thequeenpanda,1
2015-09-05,232090,0 of 1 people (0%) found this review helpful,1.0,death-hunter,1
2015-03-30,1250,No ratings yet,1.0,death-hunter,2
2014-02-19,4000,No ratings yet,1.0,death-hunter,2
2014-07-14,304930,2 of 4 people (50%) found this review helpful,1.0,DJKamBer,1
2013-04-27,570,0 of 1 people (0%) found this review helpful,1.0,DJKamBer,2
2015-07-20,218620,2 of 6 people (33%) found this review helpful,1.0,DJKamBer,1
2013-11-04,224260,No ratings yet,1.0,DJKamBer,1
2013-07-12,1250,No ratings yet,1.0,DJKamBer,1
2012-08-19,440,No ratings yet,1.0,DJKamBer,1
2015-06-19,730,1 of 3 people (33%) found this review helpful,1.0,Rainbow-Dashie,2
2014-09-20,440,0 of 2 people (0%) found this review helpful,1.0,Rainbow-Dashie,1
2014-09-07,49520,0 of 2 people (0%) found this review helpful,1.0,Rainbow-Dashie,0
2014-12-19,33440,1 of 3 people (33%) found this review helpful,0.0,76561198043472122,0
2015-02-17,220200,28 of 31 people (90%) found this review helpful,1.0,MarbleShrine,1
2014-06-07,211820,No ratings yet,1.0,PPanther,1
2014-02-12,440,6 of 9 people (67%) found this review helpful,1.0,devvonst,2
2014-02-09,218740,0 of 1 people (0%) found this review helpful,1.0,devvonst,1
2015-10-31,550,No ratings yet,1.0,devvonst,2
2015-02-04,238090,1 of 2 people (50%) found this review helpful,1.0,starkillershadow553,1
2014-04-05,277430,No ratings yet,1.0,starkillershadow553,1
2015-01-08,8870,2 of 2 people (100%) found this review helpful,1.0,76561198058373434,1
2015-10-26,368230,3 of 5 people (60%) found this review helpful,1.0,76561198048353577,0
2013-03-20,33930,No ratings yet,1.0,76561198048353577,1
2015-12-28,359320,4 of 5 people (80%) found this review helpful,0.0,76561198066046412,0
2015-05-19,219640,1 of 5 people (20%) found this review helpful,1.0,76561198066046412,2
2015-12-15,287980,No ratings yet,1.0,tru_mu_,1
2015-08-21,208090,No ratings yet,1.0,76561198070565427,1
2014-10-17,242700,No ratings yet,1.0,76561198070565427,1
2014-06-27,570,No ratings yet,0.0,76561198070565427,1
2014-04-28,224260,No ratings yet,1.0,76561198070565427,1
2015-11-12,221100,0 of 8 people (0%) found this review helpful,1.0,SavageEeEe,2
2014-06-18,570,No ratings yet,1.0,76561198076909484,0
2014-11-20,331470,27 of 41 people (66%) found this review helpful,1.0,KanadeTheNeko,2
2014-05-29,4000,8 of 10 people (80%) found this review helpful,1.0,KanadeTheNeko,1
2014-12-29,304930,No ratings yet,1.0,GoAwayZach,2
2015-02-13,12210,No ratings yet,1.0,76561198054540475,1
2014-12-26,265210,No ratings yet,1.0,76561198054540475,1
2014-02-04,48700,No ratings yet,1.0,76561198054540475,1
2015-05-21,730,0 of 1 people (0%) found this review helpful,1.0,76561198061252210,1
2013-12-06,113200,No ratings yet,1.0,OfficialShroomsy,1
2014-05-12,440,4 of 4 people (100%) found this review helpful,1.0,boydeer,1
2015-08-24,383080,4 of 7 people (57%) found this review helpful,0.0,boydeer,1
2015-01-06,213670,No ratings yet,1.0,VVillis,1
2015-12-22,105600,No ratings yet,1.0,76561198083226897,1
2015-06-23,730,1 of 1 people (100%) found this review helpful,1.0,76561198075277292,1
2015-09-11,570,No ratings yet,1.0,76561198075277292,1
2013-04-22,231180,No ratings yet,1.0,76561198028895010,2
2012-05-27,620,No ratings yet,1.0,76561198028895010,2
2015-12-05,223710,No ratings yet,1.0,diego9031,1
2015-10-04,299360,No ratings yet,1.0,diego9031,1
2015-10-03,322330,No ratings yet,1.0,diego9031,1
2015-08-13,1250,No ratings yet,1.0,diego9031,1
2015-02-22,12100,No ratings yet,1.0,diego9031,1
2015-01-14,204360,No ratings yet,1.0,diego9031,2
2013-12-14,440,No ratings yet,1.0,diego9031,0
2013-12-01,224260,No ratings yet,1.0,diego9031,1
2012-02-11,440,No ratings yet,1.0,jarrodtrim,2
2015-03-12,440,1 of 1 people (100%) found this review helpful,1.0,76561198067936203,1
2015-10-14,1840,3 of 6 people (50%) found this review helpful,1.0,76561198079770573,1
2013-10-27,440,1 of 1 people (100%) found this review helpful,1.0,76561198087586464,2
2015-11-27,440,1 of 1 people (100%) found this review helpful,1.0,Derp-e,1
2014-10-09,233250,0 of 11 people (0%) found this review helpful,1.0,76561198070194565,1
2015-11-09,248570,No ratings yet,1.0,76561198070194565,1
2015-12-23,298630,0 of 1 people (0%) found this review helpful,1.0,Rivtex,1
2014-05-06,244210,1 of 1 people (100%) found this review helpful,1.0,UTNerd24,1
2015-12-02,440,1 of 2 people (50%) found this review helpful,1.0,UTNerd24,1
2015-06-06,376920,13 of 27 people (48%) found this review helpful,1.0,UTNerd24,1
2015-09-29,257750,No ratings yet,1.0,UTNerd24,1
2014-09-08,221910,No ratings yet,1.0,UTNerd24,0
2013-12-15,2280,No ratings yet,1.0,UTNerd24,2
2015-11-23,417860,No ratings yet,0.0,sandwiches1,1
2014-06-01,218620,No ratings yet,1.0,76561198138053270,1
2014-07-11,218620,2 of 3 people (67%) found this review helpful,1.0,lucaswerg,1
2014-11-14,222880,1 of 2 people (50%) found this review helpful,1.0,lucaswerg,1
2015-11-13,377160,1 of 5 people (20%) found this review helpful,1.0,Life-Of-Blu,2
2013-12-15,211820,No ratings yet,1.0,Life-Of-Blu,1
2015-12-17,252490,No ratings yet,1.0,CaptianAutismo,2
2014-10-26,440,1 of 1 people (100%) found this review helpful,1.0,76561198075895633,1
2014-06-28,251990,1 of 1 people (100%) found this review helpful,1.0,kube134,2
